ClassName,Category,ElementName,LocatorName,ExpectedText
Page_ImprovingNutritionCourse,courselesson7data,Lesson-7 Page-3 text,improvingnutrition_pagesheader,NUTRITION FACTS LABEL
Page_ImprovingNutritionCourse,courselesson7data,Lesson-7 Page-4 text,improvingnutrition_pagesheader,NUTRIENT CONTENT CLAIMS
Page_ImprovingNutritionCourse,courselesson7data,Lesson-7 Page-5 text,improvingnutrition_pagesheader,PLAN TO EAT BREAKFAST
Page_ImprovingNutritionCourse,courselesson7data,Lesson-7 Page-6 text,improvingnutrition_pagesheader,HEALTHY EATING ON A BUDGET

Page_ImprovingNutritionCourse,courselesson8data,Lesson-8 Course Overview Header,courseoverviewheader,Course Overview
Page_ImprovingNutritionCourse,courselesson8data,Lesson-8 LinkText,eighthlessontext,Cooking In & Eating Out
Page_ImprovingNutritionCourse,courselesson8data,Lesson-8 Overview Text,improvingnutrition_overviewheader,Overview
Page_ImprovingNutritionCourse,courselesson8data,Lesson-8 Page-1 text,improvingnutrition_pagesheader,no_element
Page_ImprovingNutritionCourse,courselesson8data,Lesson-8 Page-2 text,improvingnutrition_pagesheader,FOOD SAFETY
Page_ImprovingNutritionCourse,courselesson8data,Lesson-8 Page-3 text,improvingnutrition_pagesheader,EATING OUT
Page_ImprovingNutritionCourse,courselesson8data,Lesson-8 Page-4 text,improvingnutrition_pagesheader,YOUR VALUES AND PRIORITIES

Page_ImprovingNutritionCourse,courselesson9data,Lesson-9 Course Overview Header,courseoverviewheader,Course Overview
Page_ImprovingNutritionCourse,courselesson9data,Lesson-9 LinkText,ninthlessontext,Achieving Balance
Page_ImprovingNutritionCourse,courselesson9data,Lesson-9 Overview Text,improvingnutrition_overviewheader,Overview
Page_ImprovingNutritionCourse,courselesson9data,Lesson-9 Page-1 text,improvingnutrition_pagesheader,no_element
Page_ImprovingNutritionCourse,courselesson9data,Lesson-9 Page-2 text,improvingnutrition_pagesheader,ACHIEVING CALORIE BALANCE THROUGH DIET
Page_ImprovingNutritionCourse,courselesson9data,Lesson-9 Page-3 text,improvingnutrition_pagesheader,ACHIEVING CALORIE BALANCE THROUGH PHYSICAL ACTIVITY
Page_ImprovingNutritionCourse,courselesson9data,Lesson-9 Page-4 text,improvingnutrition_pagesheader,EATING RIGHT FOR EXERCISE
Page_ImprovingNutritionCourse,courselesson9data,Lesson-9 Page-5 text,improvingnutrition_pagesheader,THE WONDERS OF WATER
Page_ImprovingNutritionCourse,courselesson9data,Lesson-9 Page-6 text,improvingnutrition_pagesheader,OBSTACLES TO HEALTHY HABITS

Page_ImprovingNutritionCourse,courselesson10data,Lesson-10 Course Overview Header,courseoverviewheader,Course Overview
Page_ImprovingNutritionCourse,courselesson10data,Lesson-10 LinkText,tenthlessontext,Healthy Habits for the Entire Family
Page_ImprovingNutritionCourse,courselesson10data,Lesson-10 Overview Text,improvingnutrition_overviewheader,Overview
Page_ImprovingNutritionCourse,courselesson10data,Lesson-10 Page-1 text,improvingnutrition_pagesheader,no_element
Page_ImprovingNutritionCourse,courselesson10data,Lesson-10 Page-2 text,improvingnutrition_pagesheader,SPECIAL CONSIDERATIONS FOR WOMEN
Page_ImprovingNutritionCourse,courselesson10data,Lesson-10 Page-3 text,improvingnutrition_pagesheader,SPECIAL CONSIDERATIONS FOR MEN
Page_ImprovingNutritionCourse,courselesson10data,Lesson-10 Page-4 text,improvingnutrition_pagesheader,SPECIAL CONSIDERATIONS FOR CHILDREN
Page_ImprovingNutritionCourse,courselesson10data,Lesson-10 Page-5 text,improvingnutrition_pagesheader,BEING A ROLE MODEL

Page_ImprovingNutritionCourse,courselesson11data,Lesson-11 Course Overview Header,courseoverviewheader,Course Overview
Page_ImprovingNutritionCourse,courselesson11data,Lesson-11 LinkText,eleventhlessontext,Hot Topics
Page_ImprovingNutritionCourse,courselesson11data,Lesson-11 Overview Text,improvingnutrition_overviewheader,Overview
Page_ImprovingNutritionCourse,courselesson11data,Lesson-11 Page-1 text,improvingnutrition_pagesheader,no_element
Page_ImprovingNutritionCourse,courselesson11data,Lesson-11 Page-2 text,improvingnutrition_pagesheader,EATING ORGANICALLY
Page_ImprovingNutritionCourse,courselesson11data,Lesson-11 Page-3 text,improvingnutrition_pagesheader,SUPERFOODS
Page_ImprovingNutritionCourse,courselesson11data,Lesson-11 Page-4 text,improvingnutrition_pagesheader,PROBIOTICS
Page_ImprovingNutritionCourse,courselesson11data,Lesson-11 Page-5 text,improvingnutrition_pagesheader,REWARDS

Page_ImprovingNutritionCourse,courselesson12data,Lesson-12 Course Overview Header,courseoverviewheader,Course Overview
Page_ImprovingNutritionCourse,courselesson12data,Lesson-12 LinkText,twelvethlessontext,Celebrating Success
Page_ImprovingNutritionCourse,courselesson12data,Lesson-12 Overview Text,improvingnutrition_overviewheader,Overview
Page_ImprovingNutritionCourse,courselesson12data,Lesson-12 Page-1 text,improvingnutrition_pagesheader,no_element
Page_ImprovingNutritionCourse,courselesson12data,Lesson-12 Page-2 text,improvingnutrition_pagesheader,LAPSE AND RELAPSE
Page_ImprovingNutritionCourse,courselesson12data,Lesson-12 Page-3 text,improvingnutrition_pagesheader,LEARNING FROM LAPSE
Page_ImprovingNutritionCourse,courselesson12data,Lesson-12 Page-4 text,improvingnutrition_pagesheader,CONGRATULATIONS
Page_ImprovingNutritionCourse,courselesson12data,Lesson-12 Page-5 text,improvingnutrition_pagesheader,YOUR SUCCESS STORY

Page_BloodPressureCourse,coursedata,Blood Pressure Header,bloodpressurecourseheader,Blood Pressure

Page_BloodPressureCourse,courselesson1data,Lesson-1 Course Overview Header,courseoverviewheader,Course Overview
Page_BloodPressureCourse,courselesson1data,Lesson-1 LinkText,firstlessontext,About Hypertension
Page_BloodPressureCourse,courselesson1data,Lesson-1 Overview Text,bloodpressure_overviewheader,Overview
Page_BloodPressureCourse,courselesson1data,Lesson-1 Page-1 text,bloodpressure_pagesheader,no_element
Page_BloodPressureCourse,courselesson1data,Lesson-1 Page-2 text,bloodpressure_pagesheader,What Is Hypertension?
Page_BloodPressureCourse,courselesson1data,Lesson-1 Page-3 text,bloodpressure_pagesheader,What Causes Hypertension?
Page_BloodPressureCourse,courselesson1data,Lesson-1 Page-4 text,bloodpressure_pagesheader,What Are the Risk Factors?
Page_BloodPressureCourse,courselesson1data,Lesson-1 Page-5 text,bloodpressure_pagesheader,How Is Hypertension Treated?
Page_BloodPressureCourse,courselesson1data,Lesson-1 Page-6 text,bloodpressure_pagesheader,no_element
Page_BloodPressureCourse,courselesson1data,Lesson-1 Page-7 text,bloodpressure_pagesheader,In the next lesson

Page_BloodPressureCourse,courselesson2data,Lesson-2 Course Overview Header,courseoverviewheader,Course Overview
Page_BloodPressureCourse,courselesson2data,Lesson-2 LinkText,secondlessontext,About Blood Pressure
Page_BloodPressureCourse,courselesson2data,Lesson-2 Overview Text,bloodpressure_overviewheader,Overview
Page_BloodPressureCourse,courselesson2data,Lesson-2 Page-1 text,bloodpressure_pagesheader,no_element
